Sample Data,2022 07 02 09_51
AIM Version,11.0.1
Classifier Model,3082,Classifier S/N,3082001809001,Classifier Firmware Version,2.3
Neutralizer Model,3088,Neutralizer S/N,
Impactor (cm),None,Impactor S/N,
DMA Model,3081,DMA S/N,
DMA Inner Radius (cm),0.9369999999999999
DMA Outer Radius (cm),1.9609999999999999
DMA Characteristic Length (cm),44.369
Detector Model,3750,Detector S/N,3750180803,Nano Enhancer,NONE
Detector Sample Flow (L/min),1,Detector Inlet Flow (L/min),1
Reference Gas Viscosity (Pa*s),1.832450e-5
Reference Mean Free Path (m),6.730000e-8
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),38.40
Tube Diameter (cm),0.48
Channels/Decade,128
Multiple Charge Correction,true
Nanoparticle Agglomerate Mobility Analysis,FALSE
DiffusionCorrection,true
Units,dW/dlogDp
Weight,Number
126,07/02/2022,11:58:07,21.4,101.0,61.6,6.70363e-8,1.82480e-5,,7277.108,8296.496,8953.100,10792.040,12228.178,13178.920,13660.695,8086.125,8153.122,9241.890,6948.852,6156.601,5512.419,6174.710,6068.055,6799.491,11257.500,8235.061,3540.843,5635.212,4319.128,3205.639,3670.017,2825.488,3245.292,4669.637,3287.221,2250.509,2206.767,2008.523,3090.387,2755.550,3070.373,3689.091,2702.880,2511.790,2318.619,1317.700,2667.670,2121.297,2318.522,2466.865,2737.697,1236.444,1208.223,2827.797,2532.198,1731.496,1841.006,1111.591,2010.925,1039.826,2105.296,2184.716,1289.243,1415.853,1131.055,1700.749,1869.712,2280.501,1678.096,1968.121,2319.926,1296.576,1824.191,1674.329,1677.033,1240.016,967.073,682.428,1111.852,827.246,2125.216,1746.973,1724.967,985.236,1736.856,610.673,882.433,1442.219,1050.354,1655.279,2066.665,2554.614,1488.447,1229.161,1365.513,2616.678,2062.609,2438.251,1865.995,1354.686,795.579,1610.914,1000.989,1441.218,1339.100,1800.773,2114.485,1056.156,1879.467,1546.767,1842.393,1497.168,1472.567,1413.625,884.469,1040.580,1502.599,1507.971,1459.612,1033.813,1053.664,1077.752,1062.908,1475.627,1222.018,1425.330,1137.265,1700.745,1261.777,1512.396,1044.812,1547.444,978.389,795.064,412.924,629.352,975.728,359.355,849.046,864.916,738.208,511.919,456.579,763.613,1394.370,1259.232,956.687,1101.565,764.963,0.000,110.054,28.527,327.482,0.000,0.000,0.000,176.094,0.000,0.000,5.055,750.210,283.855,750.844,47.345,603.846,207.861,0.000,48.098,0.000,308.210,0.000,237.096,124.222,311.478,201.876,151.617,434.057,93.053,1186.839,642.764,673.168,288.348,788.111,518.553,1307.379,896.979,865.496,872.910,549.286,371.559,207.483,732.587,262.171,951.792,669.036,1706.237,1492.208,879.434,445.330,1011.024,460.582,678.881,576.940,465.709,424.748,875.342,598.013,603.386,0.000,0.000,75.304,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,35.282,90.999,51.643,23.082,2.535,3.09603e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
127,07/02/2022,11:59:38,21.3,101.0,61.7,6.70074e-8,1.82432e-5,,10707.505,11188.329,9922.163,10480.432,10184.169,9290.727,7862.026,9780.233,9173.629,5630.962,10144.224,6496.677,7820.934,5452.546,8292.508,5696.391,6571.300,3180.524,6639.838,5223.754,4016.305,4348.585,2853.099,5329.885,3167.234,2585.488,2512.427,2716.903,1765.403,1263.467,1651.755,1482.251,3246.192,1541.610,2611.161,1467.159,2924.990,2330.897,1134.487,1211.459,2158.568,2716.139,2176.376,1786.137,2511.611,838.423,980.548,1464.017,1554.034,2061.681,1458.481,491.121,1191.556,997.001,1526.913,2062.415,1302.325,1265.457,1355.563,1226.434,1821.023,942.642,1213.265,1093.519,1058.175,1179.107,1543.359,1195.937,1273.955,1936.362,1494.083,1210.335,1166.634,1338.536,1524.756,1772.807,1412.038,659.184,1196.207,434.664,380.988,1120.132,1387.098,651.607,795.625,1182.450,1162.080,875.735,760.648,1086.580,563.903,563.784,1630.062,1326.670,1134.772,1403.907,870.430,1274.314,1175.042,1329.408,729.722,814.710,1407.120,1366.878,825.278,356.885,539.679,718.120,843.648,1376.546,1593.438,1351.646,1144.011,1443.534,1781.938,1362.273,905.380,589.365,645.445,581.526,1328.960,664.586,713.466,690.170,1153.860,958.386,785.680,1660.370,1176.400,875.748,1012.755,1204.751,688.124,780.014,624.984,58.282,0.000,0.000,0.000,123.840,384.670,809.546,429.295,418.766,111.095,219.151,52.172,0.000,0.000,353.450,0.000,103.577,43.034,292.363,0.000,216.799,380.793,304.261,0.000,0.000,91.601,0.000,0.000,248.299,268.027,1400.136,921.172,760.084,68.394,466.071,255.682,556.326,762.610,288.326,387.630,531.676,913.119,2195.902,1247.153,1390.221,996.857,1051.297,1193.730,260.850,684.487,800.378,429.774,1083.980,765.535,1600.839,1279.401,1466.533,1715.432,863.891,652.178,538.228,584.890,711.186,564.574,785.743,964.118,227.219,1363.476,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,32.265,104.429,52.665,21.097,2.770,2.80859e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
128,07/02/2022,12:01:08,21.3,101.0,61.8,6.70074e-8,1.82432e-5,,6271.683,5156.947,7133.892,8019.292,7602.650,6155.172,6630.733,7495.833,7651.286,5969.647,8631.441,7740.176,6961.677,5618.108,7784.644,4113.546,4217.078,4015.178,3429.146,3774.486,1836.360,2196.952,2711.913,2930.170,2167.295,1638.733,2955.515,1556.668,1076.461,1628.793,1041.108,1327.856,2501.803,1868.699,1043.830,1449.167,1152.955,1689.815,1526.125,1423.894,1581.103,1577.660,2095.915,1682.726,2165.900,1002.789,1141.063,1160.806,2532.317,1784.921,1245.354,2321.078,1690.559,1376.264,2375.887,2230.901,1546.265,2100.962,794.170,1560.258,2461.617,1683.475,1376.514,849.304,888.331,1222.719,977.800,746.555,517.155,1595.330,1149.831,1168.590,1844.519,1300.549,1409.554,1431.231,1036.415,2312.389,1071.453,1930.704,777.555,817.836,1022.008,1157.824,1160.581,1459.743,969.887,1221.644,1463.363,1086.107,1814.495,1616.520,1140.885,1111.781,1203.058,1748.696,796.665,1118.566,1306.486,998.726,643.150,2116.758,1374.825,794.115,1078.186,1564.957,1652.211,1751.108,658.395,1240.734,1137.435,680.697,1041.297,1150.984,820.960,1902.645,624.159,495.752,828.072,1019.931,1531.273,1103.437,1096.005,547.847,1548.601,586.304,1356.297,1130.013,655.415,504.722,442.838,567.354,163.283,807.342,990.974,924.655,349.155,253.545,366.161,605.026,556.657,8.904,369.142,745.921,435.456,0.000,0.000,0.000,0.000,292.808,139.568,0.000,0.000,45.645,156.058,0.000,0.000,237.877,380.134,311.507,180.804,326.621,172.075,774.495,588.598,95.693,0.000,189.255,38.521,209.317,291.741,288.333,285.980,920.494,1023.107,964.008,956.565,327.214,801.804,202.171,203.904,205.680,1193.714,679.432,1423.478,1439.363,1431.580,1482.480,1093.598,331.024,1001.951,673.971,453.343,657.008,837.028,931.362,424.706,638.231,837.169,724.014,243.511,245.698,495.801,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,40.425,106.087,57.041,24.805,2.699,2.44610e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
129,07/02/2022,12:02:39,21.1,101.0,61.8,6.69495e-8,1.82337e-5,,6991.390,7685.919,10322.032,9238.339,11982.295,8197.455,6248.960,5208.660,7491.083,11557.692,11396.757,11023.358,7102.002,6108.693,7136.249,5108.139,7165.487,7132.186,7630.162,7180.205,5563.743,3385.801,4136.777,5157.956,5473.831,4439.883,3625.037,4362.610,2884.697,3284.414,2915.927,4467.760,5209.670,5493.215,3447.888,2446.713,2369.447,3673.633,3754.581,4874.073,3215.715,1807.749,749.511,2203.265,1424.954,1195.685,1550.841,1892.900,3186.751,1914.139,2048.951,1784.104,1853.167,1768.729,1456.949,1221.803,1365.563,1513.947,650.790,915.593,533.745,1071.921,1165.223,848.296,968.113,442.575,1240.750,1275.237,854.133,1141.792,1412.964,699.255,1194.337,873.810,891.787,973.604,951.773,1048.185,1485.439,663.461,1074.005,980.091,1128.956,853.327,875.308,1082.427,652.626,1104.135,591.480,225.340,473.290,725.437,1286.053,1352.774,1034.832,580.349,1486.954,1013.497,1306.687,822.560,1176.138,1355.857,1098.349,1445.827,696.055,783.491,796.587,528.768,823.804,673.906,1573.759,1196.407,1246.609,1474.479,696.653,1042.282,564.671,867.915,629.759,929.726,476.385,513.183,194.916,401.786,112.422,205.886,969.575,402.325,655.720,1051.579,653.321,796.829,1095.475,749.766,589.591,592.932,315.860,203.164,526.528,325.197,410.225,240.798,534.684,108.925,53.335,180.491,637.227,683.687,852.724,867.829,1154.268,35.641,0.000,0.000,156.277,121.990,64.368,67.053,199.277,0.000,650.654,0.000,0.000,56.454,0.000,0.000,62.854,468.332,0.000,50.078,0.000,113.355,571.888,384.394,110.505,420.678,645.747,298.089,601.276,606.435,447.685,830.551,1299.853,843.391,521.392,532.401,644.579,867.063,768.870,640.453,1044.454,1098.513,906.596,513.499,450.705,421.755,584.839,118.518,325.316,516.352,608.706,635.688,673.271,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,32.255,83.502,46.605,22.267,2.446,2.90719e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
130,07/02/2022,12:04:09,21.0,101.0,61.7,6.69205e-8,1.82289e-5,,6247.984,8529.451,11982.603,12292.660,10770.643,12517.214,11742.859,9666.459,9024.793,8171.742,7884.393,7321.033,7494.135,6525.267,4203.639,4273.464,4107.003,4484.591,4287.381,3301.885,3228.754,3699.123,5117.171,3692.611,3009.905,2557.494,1501.776,2562.226,1969.487,1296.709,2249.052,2438.744,2317.138,1233.744,1426.893,2455.100,3120.824,1952.134,2614.956,1642.890,1030.233,2052.304,1481.055,3542.476,3629.841,2521.362,2456.877,1702.602,1648.235,1971.290,3087.264,3288.275,1124.622,2277.282,942.166,890.418,1505.032,847.142,1262.731,1940.228,1706.919,1518.680,1670.412,781.718,1107.282,1308.616,1600.295,1076.327,1419.320,1515.111,1502.004,613.661,736.470,859.411,1470.886,1417.752,1859.489,1856.061,1596.643,1645.349,589.123,898.997,1274.194,1248.826,1870.970,1827.872,2626.444,2086.388,1540.002,1441.490,1336.946,2166.396,1350.862,2179.599,2282.588,964.395,1205.658,1539.223,546.060,1327.521,1639.796,995.650,1317.312,1556.245,2558.574,1945.602,1674.544,1533.177,809.326,732.867,879.255,693.176,1786.766,835.791,939.791,450.883,632.600,420.481,14.713,719.982,707.146,921.921,1696.128,453.239,864.791,860.047,872.951,583.869,168.643,323.075,610.718,388.602,553.009,443.917,617.752,471.975,803.146,687.182,591.217,672.143,663.856,502.843,468.791,702.429,659.636,310.100,218.688,9.789,0.911,676.742,407.544,295.176,383.839,344.879,525.415,306.728,333.549,221.449,197.854,13.946,61.868,437.598,0.000,190.546,96.569,42.317,26.524,150.386,0.000,0.000,1.038,261.141,134.531,248.735,96.890,141.516,546.949,93.472,206.351,101.067,0.000,102.822,0.000,0.000,0.000,212.950,0.000,108.377,0.000,110.322,111.306,0.000,0.000,114.333,115.361,116.394,189.706,282.624,119.574,241.298,417.956,560.936,123.928,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,32.537,68.570,45.581,22.671,2.213,2.73532e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
131,07/02/2022,12:05:40,20.9,101.0,61.3,6.68915e-8,1.82241e-5,,7464.700,6618.187,8956.911,9238.320,6452.987,10869.634,7649.656,10163.481,9359.653,9986.670,11386.895,6613.524,8369.807,6504.971,5906.938,6519.277,6383.579,5013.706,4547.866,5103.231,3455.846,4256.772,3521.603,2956.306,2440.702,2073.526,3678.506,4638.340,3328.737,1361.351,1909.102,3143.160,3154.329,2601.759,3171.248,2813.592,2808.644,2530.037,3720.973,3180.902,3709.262,3711.256,2779.707,2235.397,1975.243,2013.097,2890.525,1876.771,2515.174,2123.637,2198.227,2293.134,3818.395,3894.660,1707.405,3115.740,2037.776,1637.233,1113.553,1304.533,1246.107,716.534,1954.832,2294.385,2392.673,1484.068,2029.195,1079.579,970.691,908.924,1940.896,1238.200,741.272,758.656,1070.194,499.805,590.382,1059.369,1123.282,1699.939,1561.244,1513.879,1230.191,1408.336,737.208,1346.407,922.436,991.967,1562.704,2079.010,1987.134,1356.927,1705.326,857.996,1018.023,1574.510,1870.745,1897.801,1837.977,1806.509,1324.545,963.463,1435.474,1143.472,470.669,1027.557,927.455,1201.700,1175.514,1265.056,1104.284,1054.941,914.703,867.218,619.981,759.358,803.334,339.551,549.811,1506.910,925.544,1343.809,1841.139,994.150,1435.830,900.961,1290.415,508.556,1646.140,1200.557,931.204,1414.423,591.950,144.704,1003.219,1020.424,297.619,0.000,1047.136,993.070,192.720,306.139,255.821,455.705,89.952,102.391,50.039,894.363,919.437,96.735,443.590,349.924,47.873,0.000,36.602,418.190,13.644,639.333,500.306,1065.607,1291.264,1061.727,167.451,215.485,648.279,776.458,0.000,0.000,0.000,10.986,0.000,966.001,477.721,288.261,692.326,1060.398,886.644,397.404,500.998,606.368,305.791,205.626,725.973,1468.248,840.724,532.338,786.949,310.954,638.156,658.333,401.794,829.910,233.848,450.009,461.416,1280.321,894.331,896.658,901.406,1750.745,1728.705,603.904,1443.692,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,37.951,99.638,53.781,24.805,2.623,3.06354e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
132,07/02/2022,12:07:10,20.9,101.0,61.0,6.68915e-8,1.82241e-5,,17025.816,16577.294,17437.520,14556.091,18215.154,20928.561,20746.949,18562.804,16045.371,18115.936,16070.386,15536.755,14661.528,19398.263,16453.020,13949.955,14138.546,13073.159,13503.187,14485.363,11767.607,9044.647,10781.389,12092.925,7810.422,11800.611,11593.146,11546.319,12183.720,9905.167,10757.130,10970.851,7580.599,8696.235,6636.491,6784.342,5405.656,5854.152,5402.706,4483.483,5494.235,4848.108,4093.823,5562.237,5112.180,4446.560,3431.273,4734.455,5219.191,3321.165,3608.804,3506.782,3124.207,2721.134,2591.041,3323.030,2420.623,3516.639,2604.230,2378.342,2692.155,2528.959,2067.631,2429.748,2317.712,2141.088,2145.661,1955.486,1944.833,2009.408,1005.174,1112.714,2105.050,1949.774,1459.844,1554.298,1033.277,1444.507,1031.359,1765.634,1764.848,925.898,1720.276,1213.660,1470.558,1924.819,1552.327,1902.652,1528.706,1064.346,2123.027,2115.231,1852.782,2277.784,1741.317,1631.953,720.250,1488.362,2158.254,1027.374,927.197,1087.815,722.814,2307.194,1796.977,1019.252,1988.663,1097.833,263.486,1037.207,1458.781,878.378,873.263,727.993,1381.825,784.895,1072.130,701.770,809.603,788.419,1444.885,1318.982,714.754,938.773,1007.856,1271.200,1298.097,1053.559,872.304,962.846,610.038,725.394,463.209,758.697,719.626,163.041,1013.234,1264.434,1838.926,1462.549,666.748,283.291,256.273,208.414,44.996,725.780,367.966,360.235,1190.874,876.841,178.374,915.956,0.000,0.000,0.000,0.000,65.776,462.972,513.308,669.628,659.057,580.998,1083.899,289.759,111.331,100.398,0.000,0.000,447.916,0.000,61.407,611.745,1239.004,384.348,595.447,767.316,591.106,596.122,501.003,129.481,663.334,330.163,933.394,1154.398,1051.839,745.291,537.090,758.595,546.675,330.946,179.195,268.401,120.539,564.335,461.416,933.559,539.586,638.131,478.269,0.000,87.226,670.422,797.122,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,31.161,63.157,40.595,22.671,2.115,5.67572e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
133,07/02/2022,12:08:41,21.0,101.0,60.9,6.69205e-8,1.82289e-5,,22551.682,21684.387,24475.400,20141.568,24037.844,25376.290,20645.745,21879.280,22511.525,18532.279,20809.365,20443.979,17653.786,20099.004,17645.826,19684.524,20774.068,20801.284,19304.086,21865.449,18226.835,18227.323,18851.675,15972.559,14315.119,17755.290,15478.265,14438.582,16947.411,12026.015,14557.701,12191.121,11855.111,14556.622,10002.707,11101.426,10396.065,8673.376,8559.073,7922.195,10517.434,7783.198,7975.395,6527.396,6361.370,6010.619,7302.790,5771.876,5571.543,5892.546,5031.769,5021.635,5770.775,5345.684,4726.857,4357.460,4552.347,4401.717,3415.043,4033.354,2700.131,3542.738,3347.507,2082.800,3624.534,2420.528,2770.285,2100.821,1724.558,3118.431,1834.377,2421.511,2347.495,2912.942,2290.560,1647.921,2161.696,2633.224,1871.716,2023.978,2171.534,914.349,1582.972,1213.099,1958.471,1229.814,1605.170,1385.170,1032.997,2042.499,1748.758,2052.250,2316.237,1772.513,1387.725,2585.416,1925.909,2860.994,2675.067,1984.135,1614.954,1364.702,1324.588,1587.988,1228.761,1798.193,2291.070,2574.641,1828.979,1513.833,2006.857,2736.402,1667.809,790.874,1869.984,726.543,1707.725,1635.949,1760.878,1698.527,1779.998,963.796,1096.610,607.671,416.552,262.168,1730.093,425.630,966.526,291.571,441.763,1041.216,642.180,442.642,522.016,354.416,497.971,1057.565,236.150,1044.830,699.234,827.914,408.553,133.065,783.130,0.000,0.000,1531.352,596.592,460.165,0.000,789.745,443.698,0.000,947.264,424.822,301.002,737.153,0.000,794.399,552.886,140.597,205.591,428.757,385.645,67.153,535.061,0.000,322.815,193.081,0.000,517.990,667.239,384.371,609.092,949.032,365.920,624.564,300.623,735.730,685.048,356.768,677.298,837.021,211.086,319.425,429.698,108.377,225.645,875.558,445.225,449.238,679.894,457.325,576.798,351.607,467.369,355.533,597.872,603.244,486.937,736.983,1314.588,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,31.441,57.283,39.280,22.671,1.982,7.60960e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
134,07/02/2022,12:10:11,21.0,101.0,60.8,6.69205e-8,1.82289e-5,,22496.564,30832.892,20185.836,16143.406,16622.823,21272.350,21598.692,20920.945,20380.719,22196.506,21963.840,18642.080,19067.506,19732.088,21269.379,18054.400,19858.765,20559.662,18024.237,16348.361,16846.042,22580.956,15402.491,17443.259,16869.341,15922.958,16602.205,15315.033,16285.979,11954.751,10536.603,12307.957,9989.363,11176.018,10243.124,11625.939,8879.276,7584.253,8689.811,9443.234,9740.522,8735.517,6576.626,9093.775,7186.166,6404.454,9054.697,6621.543,4609.893,6696.336,8088.690,5266.142,5839.163,5139.953,5556.000,4394.246,5322.261,4447.255,4120.164,4376.643,4086.344,3256.883,3384.559,4039.818,4087.274,2346.439,3103.484,3366.401,1648.549,1974.327,2788.104,2341.360,2701.094,2830.829,2853.741,1146.161,2547.739,975.450,1702.924,790.679,1285.795,1437.860,1698.330,1967.068,1186.285,1404.757,1151.321,1832.254,1663.002,1591.430,1235.769,1004.067,1684.541,1580.186,1287.823,1432.151,1191.811,1466.067,1606.324,1811.207,1029.994,1065.627,1915.391,1181.796,1268.355,1048.235,967.138,1164.194,951.997,1164.343,860.991,1867.861,1316.840,1574.847,1173.159,930.318,1050.334,1123.343,1051.182,451.523,1075.648,1269.245,1488.150,1045.289,896.823,762.310,925.112,463.092,241.871,776.374,802.010,562.106,427.527,599.497,313.463,431.888,605.950,274.176,338.781,100.327,288.373,245.502,311.433,0.000,98.710,0.000,336.739,0.000,156.116,126.068,0.000,0.000,0.000,17.088,42.898,0.000,222.258,0.000,0.000,255.170,58.574,91.771,602.957,86.279,110.754,0.000,0.000,169.347,189.379,0.000,321.635,1161.574,1048.425,941.515,407.149,293.105,295.566,198.714,501.053,561.854,656.547,459.589,833.966,469.719,473.527,693.516,859.411,758.640,109.340,330.965,222.613,151.850,526.684,199.562,721.523,354.015,537.195,681.197,554.440,603.238,486.937,736.989,371.785,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,31.321,53.092,37.873,21.097,1.884,7.32906e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
135,07/02/2022,12:11:42,21.1,101.0,60.8,6.69495e-8,1.82337e-5,,17658.173,16865.379,13893.986,19490.826,16612.584,18125.904,15382.115,13007.211,14605.181,17610.677,18742.148,12187.341,14286.118,16444.457,14826.097,13880.059,13280.973,14561.563,11431.044,14340.703,15107.046,14867.687,15345.074,12130.158,12416.051,10916.310,10726.754,9855.567,10654.712,9479.031,10302.438,9465.150,7794.587,10352.972,6411.807,5613.735,7127.624,7065.408,5722.157,6813.347,6453.476,5567.080,6591.163,4118.064,6319.646,5256.762,3919.146,3291.350,3571.622,4596.567,5042.681,5554.234,4470.219,5407.075,5072.796,4375.294,4345.044,4331.320,3568.246,2886.046,2465.821,2366.780,2155.049,2370.201,2428.870,1906.467,1855.688,2251.680,2191.561,1984.905,1239.942,1794.694,1658.592,2309.602,3250.296,3638.127,1916.783,1595.089,1736.533,1809.951,2492.615,2488.278,2895.629,2626.775,1974.704,1178.785,1538.571,1662.311,2000.146,1895.459,1790.904,2253.817,1388.893,1038.586,407.240,2110.417,607.538,1356.473,1607.040,1109.797,797.080,1547.699,406.456,506.453,750.444,895.706,644.521,1568.019,1150.632,1371.311,1011.401,793.917,1161.835,563.888,1526.846,1366.689,1244.106,2189.578,487.570,756.868,949.208,1656.342,1047.562,1375.914,1431.394,1613.822,1866.685,1164.262,1633.193,895.816,1997.862,2410.758,1602.410,1148.504,1760.921,1745.963,1029.694,1353.108,1502.447,1069.210,789.671,870.803,574.420,319.315,674.156,471.046,259.432,494.190,307.250,344.179,6.774,270.990,315.377,235.959,317.058,370.428,118.603,0.000,0.000,383.258,322.553,87.522,201.178,0.000,0.000,0.000,0.000,63.569,0.000,99.447,0.000,0.000,95.315,192.192,96.896,97.707,197.056,0.000,0.000,0.000,509.723,102.828,0.000,53.895,262.282,106.481,107.431,0.000,3.447,327.506,111.313,0.000,0.000,114.339,576.855,235.230,937.215,377.089,217.429,120.656,0.000,122.838,123.936,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,31.881,54.976,40.073,21.870,1.941,5.78493e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
136,07/02/2022,12:13:12,21.1,101.0,60.9,6.69495e-8,1.82337e-5,,13313.430,15509.094,13320.856,12996.561,12019.070,8647.594,13607.965,13645.060,10187.119,12917.063,7822.576,13592.206,10737.015,8661.651,10200.091,10001.999,11114.298,11108.379,10169.242,9579.088,8811.978,7799.482,8831.270,7844.499,5707.283,8640.089,6481.967,6546.248,6096.357,5153.399,5573.122,4864.893,3948.652,6119.445,6742.434,4477.313,4727.681,5356.304,6238.180,5598.881,4545.981,6620.588,6467.116,4519.723,6913.395,4215.324,4412.523,5439.630,4798.096,4355.503,4311.835,2857.745,4277.805,4122.977,3068.157,3057.277,3703.198,3052.388,4123.012,2536.002,3491.382,2084.525,3765.017,2447.742,2241.389,2009.069,2103.311,1820.233,1335.625,2084.059,1964.517,2404.376,1525.778,2027.372,1501.979,882.367,1122.982,1325.406,2766.628,2594.873,1564.727,1000.251,314.431,767.697,1181.620,949.858,1046.371,1656.231,931.419,1302.165,1293.569,1175.978,1735.401,1324.364,1153.901,1204.802,842.481,1332.463,968.074,1553.431,1442.462,1051.331,928.205,555.693,1211.869,1281.844,2472.960,1302.679,1320.635,2138.104,1383.988,1408.813,1089.143,558.116,896.173,875.192,871.516,1227.825,1564.116,1203.520,985.083,762.305,1147.968,674.077,1132.846,691.785,1181.683,1377.629,542.982,596.041,733.068,493.564,630.304,979.941,895.303,970.050,575.823,799.628,738.641,326.609,1092.443,938.617,1197.322,646.041,354.897,375.077,995.110,525.309,576.386,485.948,55.027,50.100,245.107,210.233,722.971,1025.588,470.565,290.290,195.794,0.000,0.000,41.221,0.000,0.000,343.424,37.596,908.854,625.189,607.151,372.183,0.000,46.164,381.262,576.592,498.088,279.399,295.578,397.452,901.977,303.215,713.598,925.460,414.886,367.798,259.285,322.462,537.170,216.767,546.734,423.264,531.332,605.415,120.546,450.069,115.368,116.407,469.827,237.036,684.060,275.040,452.477,894.657,522.388,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,33.778,68.736,44.184,21.097,2.170,4.49372e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
137,07/02/2022,12:14:43,21.2,101.0,61.1,6.69784e-8,1.82384e-5,,7181.288,13360.444,10922.554,10625.706,10079.002,13827.436,8018.927,9960.571,13358.735,11054.003,9630.134,10166.841,11969.827,6033.984,8772.394,7871.698,8888.098,8482.041,8132.548,7145.419,7291.950,10881.924,7705.694,10185.730,8667.861,7333.691,7248.603,7028.262,4790.525,7709.959,6074.290,6401.043,7719.091,7462.147,4942.122,5520.628,5331.311,5026.559,4575.001,4311.165,5459.313,4927.430,4256.345,2772.602,6431.868,4019.629,4329.295,4107.383,3893.352,4033.433,4151.309,2726.407,3286.270,2313.015,2671.603,2179.731,2628.443,2150.390,2243.938,2092.388,2652.696,2869.203,1417.873,2391.486,2192.330,2003.175,1533.786,1079.985,1618.020,1986.724,1475.994,1911.070,1487.111,798.653,1687.726,1618.349,1555.602,1663.583,1520.747,1856.472,1066.064,2187.175,1687.977,1481.313,1777.586,946.524,578.532,1325.187,1628.003,1594.855,1620.123,797.155,627.260,913.867,1442.143,1394.251,1274.952,1770.379,733.124,1243.894,939.020,642.466,1461.729,1221.942,680.414,464.300,1123.025,787.234,1263.577,1843.583,1357.224,164.025,880.201,912.241,1558.099,729.160,653.996,1197.271,1291.993,218.887,716.863,414.343,851.806,1292.231,1297.503,803.756,570.519,784.589,751.245,631.975,673.725,518.376,553.286,625.614,277.249,341.725,1242.580,267.872,470.998,553.904,142.271,0.000,0.000,133.593,313.565,742.324,590.903,523.316,287.132,0.000,0.000,350.259,440.691,537.846,143.527,253.215,0.000,374.082,0.000,0.000,0.000,265.615,84.472,189.608,255.997,573.513,461.244,164.039,322.023,843.215,992.003,819.496,1087.151,729.923,678.326,586.280,562.583,326.968,1014.779,750.747,2328.296,1036.284,730.371,628.443,790.173,532.438,1181.825,325.170,765.473,772.344,847.109,1054.760,354.428,442.814,507.381,421.783,187.302,519.686,119.588,603.303,486.994,491.380,695.010,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,34.274,76.034,45.588,22.671,2.277,4.12631e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
